Datum;Zeit;Stickstoffmonoxid (NO)[µg/m³];Stickstoffdioxid (NO2)[µg/m³];Kohlenmonoxid (CO)[mg/m³];Benzol[µg/m³];PM10[µg/m³];PM2,5[µg/m³];Temperatur[°C];Luftdruck[hPa]
06.01.2021;14:00;49,6;39,4;0,39;1,34;4,7;4,0;4,0;1013
06.01.2021;15:00;51,8;42,1;0,42;1,41;4,8;4,3;4,2;1013
06.01.2021;16:00;51,0;47,2;0,41;1,84;6,7;5,4;4,4;1013
06.01.2021;17:00;49,4;45,3;0,44;1,52;6,6;5,3;4,0;1013
06.01.2021;18:00;47,0;42,8;0,38;1,71;6,9;5,5;3,8;1013
06.01.2021;19:00;32,4;32,7;0,34;1,40;7,2;5,7;3,4;1013
06.01.2021;20:00;18,0;24,6;0,24;1,54;7,2;5,8;3,2;1014
06.01.2021;21:00;22,0;30,6;0,30;1,04;8,5;7,2;3,1;1014
06.01.2021;22:00;20,8;30,0;0,28;1,02;11,1;9,6;3,0;1014
06.01.2021;23:00;13,3;30,8;0,23;1,02;14,7;13,6;2,8;1014
06.01.2021;24:00;8,8;29,8;0,24;0,93;18,0;16,5;2,8;1014
07.01.2021;01:00;6,4;25,3;0,22;0,88;18,2;16,7;2,6;1014
07.01.2021;02:00;4,6;24,0;0,21;0,86;19,4;17,1;2,4;1014
07.01.2021;03:00;3,4;15,9;0,18;0,82;16,8;15,0;2,0;1014
07.01.2021;04:00;2,8;17,8;0,16;0,74;16,0;13,9;1,8;1014
07.01.2021;05:00;4,6;16,2;0,16;0,66;13,2;11,5;1,8;1014
07.01.2021;06:00;10,8;22,4;0,21;0,72;19,1;13,6;1,8;1014
07.01.2021;07:00;24,7;30,4;0,32;1,13;20,8;15,4;1,8;1014
07.01.2021;08:00;-;-;-;-;-;-;-;-
07.01.2021;09:00;-;-;-;-;-;-;-;-
07.01.2021;10:00;-;-;-;-;-;-;-;-
07.01.2021;11:00;-;-;-;-;-;-;-;-
07.01.2021;12:00;-;-;-;-;-;-;-;-
07.01.2021;13:00;-;-;-;-;-;-;-;-
07.01.2021;14:00;-;-;-;-;-;-;-;-
07.01.2021;15:00;-;-;-;-;-;-;-;-
07.01.2021;16:00;-;-;-;-;-;-;-;-
07.01.2021;17:00;-;-;-;-;-;-;-;-
07.01.2021;18:00;-;-;-;-;-;-;-;-
07.01.2021;19:00;-;-;-;-;-;-;-;-
07.01.2021;20:00;-;-;-;-;-;-;-;-
07.01.2021;21:00;-;-;-;-;-;-;-;-
07.01.2021;22:00;-;-;-;-;-;-;-;-
07.01.2021;23:00;-;-;-;-;-;-;-;-
07.01.2021;24:00;-;-;-;-;-;-;-;-
08.01.2021;01:00;-;-;-;-;-;-;-;-
08.01.2021;02:00;-;-;-;-;-;-;-;-
08.01.2021;03:00;-;-;-;-;-;-;-;-
08.01.2021;04:00;-;-;-;-;-;-;-;-
08.01.2021;05:00;-;-;-;-;-;-;-;-
08.01.2021;06:00;-;-;-;-;-;-;-;-
08.01.2021;07:00;-;-;-;-;-;-;-;-
